client_id,sess_id,timeoff
7529.00,0.00,330.40
7529.00,1.00,214.05
7530.00,0.00,204.93
7533.00,0.00,1845.02
7533.00,1.00,804.90
7533.00,2.00,602.78
7533.00,3.00,158.34
7533.00,4.00,504.34
7537.00,0.00,325.82
7542.00,0.00,857.15
7542.00,1.00,3702.65
7544.00,0.00,1323.42
7545.00,0.00,4166.84
7545.00,1.00,867.87
7548.00,0.00,501.92
7548.00,1.00,157.34
7551.00,0.00,1693.72
7552.00,0.00,171.86
7562.00,0.00,197.03
7563.00,0.00,122.02
7563.00,1.00,147.56
7563.00,2.00,1631.00
7563.00,3.00,160.74
7563.00,4.00,1852.56
7563.00,5.00,449.73
7563.00,6.00,120.12
7564.00,0.00,122.27
7564.00,1.00,183.28
7568.00,0.00,123.84
7568.00,1.00,2370.87
7568.00,2.00,225.92
7568.00,3.00,237.05
7568.00,4.00,864.92
7569.00,0.00,284.14
7569.00,1.00,1161.71
7573.00,0.00,1054.18
7574.00,0.00,183.30
7576.00,0.00,4017.00
7579.00,0.00,965.03
7583.00,0.00,120.00
7587.00,0.00,242.99
7587.00,1.00,160.89
7587.00,2.00,284.47
7587.00,3.00,120.10
7590.00,0.00,1279.71
7591.00,0.00,1660.02
7596.00,0.00,139.39
7596.00,1.00,1070.57
7596.00,2.00,399.78
7598.00,0.00,140.55
7599.00,0.00,3450.15
7599.00,1.00,394.71
7599.00,2.00,120.54
7600.00,0.00,287.33
7602.00,0.00,190.69
7602.00,1.00,223.40
7603.00,0.00,125.27
7603.00,1.00,4219.38
7605.00,0.00,878.13
7605.00,1.00,1211.52
7608.00,0.00,935.41
7616.00,0.00,1357.90
7618.00,0.00,881.01
7622.00,0.00,883.94
7622.00,1.00,215.47
7624.00,0.00,810.28
7625.00,0.00,1768.02
7627.00,0.00,1859.56
7628.00,0.00,1912.11
7631.00,0.00,643.57
7635.00,0.00,4039.75
7646.00,0.00,947.41
7649.00,0.00,408.58
7651.00,0.00,871.01
7655.00,0.00,170.27
7657.00,0.00,571.62
7657.00,1.00,190.92
7657.00,2.00,2243.01
7657.00,3.00,553.14
7659.00,0.00,3198.81
7659.00,1.00,2058.34
7662.00,0.00,130.49
7662.00,1.00,2395.09
7663.00,0.00,282.94
7665.00,0.00,1949.85
7669.00,0.00,247.16
7669.00,1.00,408.15
7670.00,0.00,508.21
7673.00,0.00,1102.96
7675.00,0.00,404.73
7676.00,0.00,617.79
7677.00,0.00,139.51
7677.00,1.00,1311.70
7683.00,0.00,203.98
7683.00,1.00,381.61
7686.00,0.00,391.38
7690.00,0.00,240.37
7690.00,1.00,120.04
7691.00,0.00,197.38
7694.00,0.00,362.99
7696.00,0.00,280.79
7699.00,0.00,211.64
7699.00,1.00,941.07
7703.00,0.00,120.02
7708.00,0.00,595.16
7708.00,1.00,1001.04
7708.00,2.00,450.03
7708.00,3.00,1118.29
7711.00,0.00,290.31
7711.00,1.00,196.81
7711.00,2.00,1287.10
7713.00,0.00,151.95
7714.00,0.00,152.26
7717.00,0.00,249.56
7718.00,0.00,129.37
7719.00,0.00,339.58
7721.00,0.00,893.11
7725.00,0.00,1420.16
7725.00,1.00,875.50
7727.00,0.00,139.67
7729.00,0.00,208.80
7731.00,0.00,2651.93
7731.00,1.00,167.86
7733.00,0.00,579.18
7733.00,1.00,1238.80
7734.00,0.00,122.75
7738.00,0.00,3975.72
7742.00,0.00,134.24
7751.00,0.00,1792.83
7751.00,1.00,2888.55
7753.00,0.00,1758.37
7754.00,0.00,159.36
7756.00,0.00,249.40
7756.00,1.00,162.13
7760.00,0.00,889.43
7761.00,0.00,120.25
7761.00,1.00,859.39
7761.00,2.00,959.29
7763.00,0.00,120.28
7763.00,1.00,120.47
7765.00,0.00,146.54
7769.00,0.00,219.89
7769.00,1.00,667.46
7772.00,0.00,2847.58
7774.00,0.00,199.94
7774.00,1.00,988.59
7775.00,0.00,483.10
7777.00,0.00,483.46
7777.00,1.00,199.99
7777.00,2.00,132.25
7777.00,3.00,127.33
7778.00,0.00,261.62
7778.00,1.00,1475.95
7789.00,0.00,125.07
7792.00,0.00,849.33
7799.00,0.00,2049.92
7799.00,1.00,122.77
7806.00,0.00,142.24
7808.00,0.00,1194.73
7809.00,0.00,851.83
7809.00,1.00,145.73
7809.00,2.00,840.98
7809.00,3.00,132.84
7810.00,0.00,153.23
7811.00,0.00,133.86
7815.00,0.00,309.03
7816.00,0.00,529.87
7816.00,1.00,149.89
7817.00,0.00,554.46
7817.00,1.00,774.52
7821.00,0.00,1659.36
7821.00,1.00,1112.29
7825.00,0.00,138.19
7825.00,1.00,373.10
7833.00,0.00,731.17
7833.00,1.00,1523.92
7834.00,0.00,121.49
7834.00,1.00,229.66
7841.00,0.00,123.21
7841.00,1.00,128.30
7841.00,2.00,1158.65
7841.00,3.00,1472.70
7841.00,4.00,132.99
7842.00,0.00,140.90
7844.00,0.00,120.21
7845.00,0.00,489.96
7847.00,0.00,121.82
7850.00,0.00,1622.61
7850.00,1.00,126.32
7850.00,2.00,1946.01
7856.00,0.00,1308.97
7856.00,1.00,168.70
7856.00,2.00,746.66
7857.00,0.00,186.47
7858.00,0.00,204.24
7858.00,1.00,1622.83
7860.00,0.00,1011.17
7861.00,0.00,361.18
7861.00,1.00,570.74
7861.00,2.00,199.75
7868.00,0.00,120.00
7870.00,0.00,160.36
7874.00,0.00,177.53
7875.00,0.00,160.13
7876.00,0.00,154.36
7880.00,0.00,589.10
7881.00,0.00,219.77
7883.00,0.00,380.96
7894.00,0.00,1227.52
7896.00,0.00,120.02
7903.00,0.00,463.89
7904.00,0.00,1374.66
7904.00,1.00,136.73
7906.00,0.00,1913.16
7907.00,0.00,120.51
7907.00,1.00,380.11
7907.00,2.00,122.87
7908.00,0.00,267.83
7909.00,0.00,2143.90
7910.00,0.00,4312.71
7910.00,1.00,856.50
7910.00,2.00,121.09
7910.00,3.00,121.41
7910.00,4.00,1711.18
7910.00,5.00,120.14
7910.00,6.00,373.96
7910.00,7.00,405.37
7911.00,0.00,147.32
7911.00,1.00,228.49
7912.00,0.00,1149.36
7913.00,0.00,1274.95
7913.00,1.00,764.28
7913.00,2.00,285.20
7913.00,3.00,256.38
7913.00,4.00,126.95
7914.00,0.00,121.96
7914.00,1.00,1670.63
7914.00,2.00,1054.39
7915.00,0.00,120.01
7915.00,1.00,680.65
7916.00,0.00,136.43
7916.00,1.00,2709.76
7919.00,0.00,126.99
7919.00,1.00,121.88
7929.00,0.00,164.45
7929.00,1.00,140.57
7933.00,0.00,247.29
7933.00,1.00,393.57
7933.00,2.00,1010.08
7937.00,0.00,414.42
7943.00,0.00,2238.52
7944.00,0.00,449.80
7945.00,0.00,153.94
7946.00,0.00,187.60
7949.00,0.00,120.13
7949.00,1.00,202.60
7957.00,0.00,134.25
7959.00,0.00,4962.44
7962.00,0.00,1676.53
7965.00,0.00,653.88
7966.00,0.00,120.38
7970.00,0.00,722.22
7971.00,0.00,189.06
7971.00,1.00,885.84
7974.00,0.00,140.62
7977.00,0.00,521.82
7981.00,0.00,488.05
7981.00,1.00,160.03
7981.00,2.00,3001.09
7983.00,0.00,3947.40
7983.00,1.00,136.25
7983.00,2.00,199.21
7983.00,3.00,650.74
7985.00,0.00,127.29
7988.00,0.00,2637.72
8000.00,0.00,207.88
8001.00,0.00,258.29
8001.00,1.00,120.11
8001.00,2.00,160.72
8006.00,0.00,220.15
8006.00,1.00,1388.69
8007.00,0.00,2554.72
8007.00,1.00,688.85
8007.00,2.00,120.07
8007.00,3.00,2460.02
8012.00,0.00,189.57
8015.00,0.00,180.44
8022.00,0.00,921.94
8023.00,0.00,128.46
8027.00,0.00,289.39
8028.00,0.00,131.34
8028.00,1.00,480.99
8033.00,0.00,919.00
8036.00,0.00,195.98
8037.00,0.00,120.10
8038.00,0.00,154.29
8038.00,1.00,143.89
8038.00,2.00,186.97
8038.00,3.00,1301.29
8038.00,4.00,2236.41
8038.00,5.00,1419.81
8040.00,0.00,2166.86
8040.00,1.00,197.33
8044.00,0.00,138.09
8045.00,0.00,181.86
8054.00,0.00,242.99
8055.00,0.00,157.16
8055.00,1.00,466.06
8055.00,2.00,1744.79
8056.00,0.00,168.18
8065.00,0.00,129.88
8065.00,1.00,5234.89
8065.00,2.00,712.42
8065.00,3.00,828.00
8071.00,0.00,1365.94
8073.00,0.00,283.56
8075.00,0.00,123.18
8075.00,1.00,1358.49
8075.00,2.00,1509.66
8075.00,3.00,772.68
8075.00,4.00,1532.56
8076.00,0.00,564.85
8081.00,0.00,288.40
8090.00,0.00,1477.02
8090.00,1.00,166.39
8091.00,0.00,659.35
8093.00,0.00,223.29
8094.00,0.00,320.47
8096.00,0.00,1077.75
8097.00,0.00,135.73
8099.00,0.00,703.10
8099.00,1.00,2937.60
8100.00,0.00,147.30
8100.00,1.00,431.75
8102.00,0.00,247.43
8109.00,0.00,625.57
8109.00,1.00,1635.68
8110.00,0.00,148.08
8110.00,1.00,276.53
8113.00,0.00,1052.90
8113.00,1.00,707.34
8113.00,2.00,282.14
8120.00,0.00,905.24
8123.00,0.00,3076.13
8123.00,1.00,120.07
8127.00,0.00,323.29
8127.00,1.00,423.53
8128.00,0.00,2028.49
8128.00,1.00,203.23
8130.00,0.00,388.85
8135.00,0.00,193.75
8137.00,0.00,123.83
8138.00,0.00,128.04
8139.00,0.00,780.32
8140.00,0.00,639.22
8140.00,1.00,744.02
8144.00,0.00,126.34
8144.00,1.00,204.36
8148.00,0.00,156.41
8148.00,1.00,258.47
8148.00,2.00,2000.20
8151.00,0.00,239.42
8152.00,0.00,470.04
8153.00,0.00,373.05
8153.00,1.00,130.99
8153.00,2.00,125.57
8153.00,3.00,3946.21
8160.00,0.00,121.13
8160.00,1.00,264.92
8167.00,0.00,120.51
