client_id,sess_id,timeon
0.00,0.00,716.15
1.00,0.00,1692.07
2.00,0.00,379.85
3.00,0.00,1451.75
4.00,0.00,351.11
5.00,0.00,2712.80
6.00,0.00,3564.44
7.00,0.00,1222.73
8.00,0.00,2031.59
9.00,0.00,1.06
10.00,0.00,1921.71
11.00,0.00,520.05
12.00,0.00,1444.16
13.00,0.00,1435.95
14.00,0.00,191.56
15.00,0.00,106.41
16.00,0.00,1182.19
17.00,0.00,6818.83
18.00,0.00,703.53
19.00,0.00,449.84
20.00,0.00,2031.94
21.00,0.00,791.07
22.00,0.00,5274.82
23.00,0.00,5736.89
24.00,0.00,2856.63
25.00,0.00,571.69
26.00,0.00,5596.18
27.00,0.00,1687.92
28.00,0.00,2053.99
29.00,0.00,641.26
30.00,0.00,1193.63
31.00,0.00,113.25
32.00,0.00,1326.10
33.00,0.00,124.82
34.00,0.00,1175.77
35.00,0.00,1516.02
36.00,0.00,187.78
37.00,0.00,836.45
38.00,0.00,3375.65
39.00,0.00,1807.44
40.00,0.00,240.81
41.00,0.00,3099.46
42.00,0.00,325.71
43.00,0.00,15746.88
44.00,0.00,21.88
45.00,0.00,350.34
46.00,0.00,149.44
47.00,0.00,1450.08
48.00,0.00,3293.84
49.00,0.00,4871.19
50.00,0.00,200.56
51.00,0.00,49.17
52.00,0.00,3573.55
53.00,0.00,4174.68
54.00,0.00,1037.13
55.00,0.00,1567.08
56.00,0.00,3.49
57.00,0.00,3662.40
58.00,0.00,23.82
59.00,0.00,6533.08
60.00,0.00,1390.48
61.00,0.00,197.21
62.00,0.00,280.21
63.00,0.00,4439.91
64.00,0.00,34.78
65.00,0.00,1068.48
66.00,0.00,4144.27
67.00,0.00,3009.62
68.00,0.00,416.46
69.00,0.00,7204.62
70.00,0.00,1632.52
71.00,0.00,105.80
72.00,0.00,1116.46
73.00,0.00,1.39
74.00,0.00,450.11
75.00,0.00,432.48
76.00,0.00,2047.93
77.00,0.00,265.21
78.00,0.00,587.15
79.00,0.00,95.07
80.00,0.00,2597.41
81.00,0.00,1012.84
82.00,0.00,2410.82
83.00,0.00,1560.12
84.00,0.00,280.27
85.00,0.00,258.31
86.00,0.00,5495.54
87.00,0.00,3525.18
88.00,0.00,2245.95
89.00,0.00,2820.77
90.00,0.00,1.23
91.00,0.00,3458.34
92.00,0.00,467.85
93.00,0.00,2270.89
94.00,0.00,201.12
95.00,0.00,1863.01
96.00,0.00,588.07
97.00,0.00,6230.47
98.00,0.00,3.18
99.00,0.00,1533.81
100.00,0.00,2788.84
101.00,0.00,170.90
102.00,0.00,3331.96
103.00,0.00,1854.45
104.00,0.00,114.82
105.00,0.00,1936.41
106.00,0.00,2440.09
107.00,0.00,133.97
108.00,0.00,903.96
109.00,0.00,6642.32
110.00,0.00,119.94
111.00,0.00,2817.28
112.00,0.00,5087.05
113.00,0.00,247.36
114.00,0.00,890.37
115.00,0.00,904.60
116.00,0.00,8.78
117.00,0.00,521.59
118.00,0.00,1342.42
119.00,0.00,23.29
120.00,0.00,596.19
121.00,0.00,4562.63
122.00,0.00,304.96
123.00,0.00,44.67
124.00,0.00,408.76
125.00,0.00,5341.00
126.00,0.00,43.84
127.00,0.00,3319.22
128.00,0.00,11306.38
129.00,0.00,81.40
130.00,0.00,5915.42
131.00,0.00,427.55
132.00,0.00,5630.81
133.00,0.00,999.68
134.00,0.00,2074.93
135.00,0.00,5475.62
136.00,0.00,2679.80
137.00,0.00,1094.96
138.00,0.00,2188.88
139.00,0.00,3289.81
140.00,0.00,787.57
141.00,0.00,67.63
142.00,0.00,2909.00
143.00,0.00,1817.67
144.00,0.00,2080.78
145.00,0.00,1707.51
146.00,0.00,1834.42
147.00,0.00,6.31
148.00,0.00,2086.70
149.00,0.00,1634.96
150.00,0.00,384.26
151.00,0.00,2319.98
152.00,0.00,1933.28
153.00,0.00,130.43
154.00,0.00,3469.81
155.00,0.00,129.54
156.00,0.00,3581.99
157.00,0.00,4551.81
158.00,0.00,3644.60
159.00,0.00,1571.27
160.00,0.00,1548.11
161.00,0.00,2218.50
162.00,0.00,5511.01
163.00,0.00,966.76
164.00,0.00,2212.14
165.00,0.00,2823.33
166.00,0.00,927.51
167.00,0.00,6027.30
168.00,0.00,2060.42
169.00,0.00,1935.39
170.00,0.00,609.89
171.00,0.00,37.42
172.00,0.00,235.18
173.00,0.00,2428.55
174.00,0.00,1361.68
175.00,0.00,513.77
176.00,0.00,2042.75
177.00,0.00,1.99
178.00,0.00,305.73
179.00,0.00,982.35
180.00,0.00,4012.65
181.00,0.00,4927.70
182.00,0.00,1312.22
183.00,0.00,412.09
184.00,0.00,4889.61
185.00,0.00,289.98
186.00,0.00,3812.53
187.00,0.00,1102.61
188.00,0.00,72.76
189.00,0.00,1593.74
190.00,0.00,4168.61
191.00,0.00,1530.41
192.00,0.00,583.75
193.00,0.00,483.25
194.00,0.00,3688.81
195.00,0.00,1.41
196.00,0.00,480.22
197.00,0.00,107.24
198.00,0.00,926.36
199.00,0.00,7980.91
200.00,0.00,1192.50
201.00,0.00,590.86
202.00,0.00,2497.02
203.00,0.00,3989.53
204.00,0.00,917.22
205.00,0.00,3711.05
206.00,0.00,1337.51
207.00,0.00,166.16
208.00,0.00,1482.91
209.00,0.00,3878.13
210.00,0.00,115.39
211.00,0.00,481.47
212.00,0.00,1193.90
213.00,0.00,40.64
214.00,0.00,2838.62
215.00,0.00,252.63
216.00,0.00,516.74
217.00,0.00,16.04
218.00,0.00,348.09
219.00,0.00,4771.42
220.00,0.00,855.20
221.00,0.00,933.75
222.00,0.00,546.67
223.00,0.00,2.62
224.00,0.00,881.46
225.00,0.00,417.97
226.00,0.00,460.04
227.00,0.00,6284.53
228.00,0.00,2.05
229.00,0.00,5326.88
230.00,0.00,326.86
231.00,0.00,4636.37
232.00,0.00,804.97
233.00,0.00,1346.86
234.00,0.00,577.64
235.00,0.00,642.50
236.00,0.00,372.32
237.00,0.00,2671.55
238.00,0.00,2199.89
239.00,0.00,528.82
240.00,0.00,1.64
241.00,0.00,27.15
242.00,0.00,1424.25
243.00,0.00,268.42
244.00,0.00,2313.75
245.00,0.00,225.09
246.00,0.00,1037.94
247.00,0.00,211.03
248.00,0.00,2523.56
249.00,0.00,899.44
250.00,0.00,604.61
251.00,0.00,5338.83
252.00,0.00,325.00
253.00,0.00,3173.54
254.00,0.00,2800.43
255.00,0.00,5246.54
256.00,0.00,166.98
257.00,0.00,510.11
258.00,0.00,168.18
259.00,0.00,299.61
260.00,0.00,9201.27
261.00,0.00,271.78
262.00,0.00,487.29
263.00,0.00,257.22
264.00,0.00,66.94
265.00,0.00,195.40
266.00,0.00,741.31
267.00,0.00,165.45
268.00,0.00,2105.20
269.00,0.00,149.34
270.00,0.00,3001.25
271.00,0.00,2981.56
272.00,0.00,2069.58
273.00,0.00,159.68
274.00,0.00,116.10
275.00,0.00,49.14
276.00,0.00,363.37
277.00,0.00,794.04
278.00,0.00,4416.26
279.00,0.00,3561.54
280.00,0.00,226.57
281.00,0.00,4260.60
282.00,0.00,1381.93
283.00,0.00,2409.40
284.00,0.00,2723.93
285.00,0.00,2461.63
286.00,0.00,27.35
287.00,0.00,1044.99
288.00,0.00,5467.33
289.00,0.00,10026.41
290.00,0.00,91.25
291.00,0.00,399.58
292.00,0.00,3500.62
293.00,0.00,1106.08
294.00,0.00,4629.20
295.00,0.00,1174.79
296.00,0.00,3457.74
297.00,0.00,863.67
298.00,0.00,195.41
299.00,0.00,5497.02
300.00,0.00,486.81
301.00,0.00,2787.46
302.00,0.00,205.72
303.00,0.00,433.54
304.00,0.00,12044.96
305.00,0.00,2.74
306.00,0.00,2097.79
307.00,0.00,375.37
308.00,0.00,5.40
309.00,0.00,2925.43
310.00,0.00,2036.55
311.00,0.00,5252.05
312.00,0.00,2234.98
313.00,0.00,385.30
314.00,0.00,1393.92
315.00,0.00,112.40
316.00,0.00,5.84
317.00,0.00,621.84
318.00,0.00,8.04
319.00,0.00,1854.65
320.00,0.00,462.94
321.00,0.00,18.04
322.00,0.00,145.27
323.00,0.00,704.99
324.00,0.00,8853.02
325.00,0.00,64.71
326.00,0.00,397.98
327.00,0.00,151.76
328.00,0.00,1607.05
329.00,0.00,2440.46
330.00,0.00,4593.28
331.00,0.00,232.96
332.00,0.00,335.13
333.00,0.00,8522.35
334.00,0.00,1107.73
335.00,0.00,61.29
336.00,0.00,2290.51
337.00,0.00,3200.39
338.00,0.00,1125.77
339.00,0.00,509.31
340.00,0.00,1126.74
341.00,0.00,6937.34
342.00,0.00,335.29
343.00,0.00,2879.89
344.00,0.00,81.59
345.00,0.00,49.80
346.00,0.00,55.82
347.00,0.00,1762.95
348.00,0.00,522.55
349.00,0.00,4668.75
350.00,0.00,3081.51
351.00,0.00,2187.64
352.00,0.00,42.64
353.00,0.00,93.04
354.00,0.00,9971.71
355.00,0.00,30.58
356.00,0.00,2015.73
357.00,0.00,2894.12
358.00,0.00,3803.10
359.00,0.00,446.64
360.00,0.00,27.50
361.00,0.00,7.36
362.00,0.00,127.25
363.00,0.00,789.08
364.00,0.00,2652.30
365.00,0.00,1960.46
366.00,0.00,2020.92
367.00,0.00,5121.90
368.00,0.00,141.90
369.00,0.00,5268.91
370.00,0.00,1998.31
371.00,0.00,1489.09
372.00,0.00,84.50
373.00,0.00,1222.58
374.00,0.00,2249.65
375.00,0.00,2.77
376.00,0.00,171.97
377.00,0.00,5858.57
378.00,0.00,89.41
379.00,0.00,1753.52
380.00,0.00,657.08
381.00,0.00,2366.91
382.00,0.00,1250.14
383.00,0.00,1940.27
384.00,0.00,158.81
385.00,0.00,1579.75
386.00,0.00,1315.74
387.00,0.00,733.45
388.00,0.00,1495.79
389.00,0.00,1.37
390.00,0.00,1046.56
391.00,0.00,104.32
392.00,0.00,2349.77
393.00,0.00,5.86
394.00,0.00,1855.41
395.00,0.00,1234.87
396.00,0.00,3331.11
397.00,0.00,525.38
398.00,0.00,2513.20
399.00,0.00,426.11
400.00,0.00,109.51
401.00,0.00,40.12
402.00,0.00,832.29
403.00,0.00,1480.67
404.00,0.00,1757.75
405.00,0.00,5384.27
406.00,0.00,3148.83
407.00,0.00,450.39
408.00,0.00,9774.71
409.00,0.00,1901.88
410.00,0.00,17.67
411.00,0.00,1852.98
412.00,0.00,427.85
413.00,0.00,2042.56
414.00,0.00,30.57
415.00,0.00,2.02
416.00,0.00,61.18
417.00,0.00,3619.10
418.00,0.00,2592.26
419.00,0.00,15016.36
420.00,0.00,3076.89
421.00,0.00,2654.92
422.00,0.00,85.21
423.00,0.00,498.18
424.00,0.00,121.44
425.00,0.00,26.42
426.00,0.00,4.79
427.00,0.00,225.99
428.00,0.00,1144.00
429.00,0.00,1438.31
430.00,0.00,20.34
431.00,0.00,343.53
432.00,0.00,3282.73
433.00,0.00,54.28
434.00,0.00,50.10
435.00,0.00,132.61
436.00,0.00,3684.34
437.00,0.00,367.65
438.00,0.00,2834.40
439.00,0.00,239.94
440.00,0.00,229.60
441.00,0.00,502.30
442.00,0.00,1793.08
443.00,0.00,203.84
444.00,0.00,290.95
445.00,0.00,1777.25
446.00,0.00,348.92
447.00,0.00,2037.48
448.00,0.00,3283.02
449.00,0.00,253.37
450.00,0.00,2332.52
451.00,0.00,2818.11
452.00,0.00,800.07
453.00,0.00,146.24
454.00,0.00,1359.32
